,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Pangnirtung,88,CA,1537502592,96,66.15,-65.72,272.691,3.01
1,Rikitea,92,PF,1537502630,100,-23.12,-134.97,293.391,7.26
2,Rapar,0,IN,1537502636,67,23.57,70.65,299.441,4.96
3,Tuktoyaktuk,20,CA,1537498800,69,69.44,-133.03,274.15,5.7
4,Mount Gambier,76,AU,1537502629,90,-37.83,140.78,287.341,2.91
5,Yellowknife,40,CA,1537498800,74,62.45,-114.38,271.15,2.1
6,Vestmanna,92,FO,1537500000,81,62.16,-7.17,279.15,8.7
7,Lunglei,8,IN,1537502706,86,22.89,92.75,298.341,0.31
8,Altagracia de Orituco,36,VE,1537502712,87,9.86,-66.38,297.191,3.86
9,Uri,0,IT,1537500000,88,40.64,8.49,295.15,3.1
10,Daboh,0,ID,1537502985,80,5.32,95.87,302.691,2.31
11,Atuona,0,PF,1537502992,100,-9.8,-139.03,299.491,5.01
12,Ushuaia,75,AR,1537498800,80,-54.81,-68.31,274.15,3.6
13,Puerto Ayora,0,EC,1537502959,100,-0.74,-90.35,293.991,5.11
14,Albany,90,US,1537501620,77,42.65,-73.75,292.05,2.6
15,Bluff,0,AU,1537503017,19,-23.58,149.07,297.891,6.71
16,Busselton,36,AU,1537503024,100,-33.64,115.35,288.891,0.96
17,Coihaique,40,CL,1537498800,100,-45.58,-72.07,276.15,2.1
18,Butaritari,36,KI,1537503036,100,3.07,172.79,302.641,2.91
19,Jamestown,0,AU,1537503009,55,-33.21,138.6,292.791,2.96
20,Laguna,68,MX,1537503049,97,27.52,-110.01,296.341,1.71
21,Boueni,0,YT,1537500600,94,-12.9,45.08,296.15,3.1
22,Esperance,20,TT,1537498800,100,10.24,-61.45,299.15,2.76
23,Chapleau,92,CA,1537503081,94,47.85,-83.4,285.091,4.46
24,Komsomolskiy,24,RU,1537503087,92,67.55,63.78,277.891,3.46
25,Torbay,90,CA,1537498800,87,47.66,-52.73,279.15,3.6
26,Punta Arenas,20,CL,1537498800,80,-53.16,-70.91,275.15,3.1
27,Geraldton,90,CA,1537499880,93,49.72,-86.95,282.15,4.1
28,Ahipara,76,NZ,1537503112,87,-35.17,173.16,288.291,3.41
29,Mitsamiouli,20,KM,1537498800,83,-11.38,43.28,296.15,1.0
30,Hithadhoo,68,MV,1537503125,100,-0.6,73.08,298.891,1.31
31,Cayenne,0,GF,1537500600,94,4.94,-52.33,298.15,4.36
32,Tunceli,0,TR,1537498200,38,39.11,39.55,289.15,1.5
33,Cape Town,20,ZA,1537498800,93,-33.93,18.42,280.15,2.1
34,Hofn,76,IS,1537503163,100,64.25,-15.21,279.991,9.16
35,Mataura,24,NZ,1537503170,72,-46.19,168.86,286.091,5.36
36,Hermanus,32,ZA,1537503176,97,-34.42,19.24,273.841,1.31
37,Bredasdorp,80,ZA,1537498800,71,-34.53,20.04,284.15,5.1
38,Nileshwar,24,IN,1537503202,96,12.25,75.1,300.091,5.06
39,Praya,20,ID,1537502400,52,-8.71,116.27,305.15,5.1
40,New Norfolk,40,AU,1537502400,42,-42.78,147.06,292.15,6.7
41,Victoria,75,BN,1537500600,79,5.28,115.24,306.15,2.1
42,Norman Wells,20,CA,1537498800,43,65.28,-126.83,275.15,2.6
43,Presidencia Roque Saenz Pena,0,AR,1537503246,91,-26.79,-60.44,292.691,3.16
44,Shishou,76,CN,1537503252,71,29.72,112.42,298.591,5.26
45,Nikolskoye,40,RU,1537500600,87,59.7,30.79,289.15,3.0
46,Maningrida,0,AU,1537503265,60,-12.05,134.23,303.091,5.56
47,Bambous Virieux,40,MU,1537498800,69,-20.34,57.76,296.15,4.1
48,East London,0,ZA,1537498800,57,-33.02,27.91,284.15,3.1
49,Tuatapere,24,NZ,1537503297,95,-46.13,167.69,284.091,4.01
50,Ginda,0,IN,1537503304,75,30.69,78.49,289.341,0.71
51,Kazachinskoye,0,RU,1537503310,70,57.69,93.28,282.141,2.41
52,Ostrovnoy,12,RU,1537503207,91,68.05,39.51,281.991,9.56
53,Westport,64,IE,1537503323,100,53.8,-9.52,281.441,5.96
54,Fort Nelson,40,CA,1537502400,63,58.81,-122.69,271.15,1.31
55,Camocim,0,BR,1537503348,80,-2.9,-40.84,298.291,7.01
56,Gornozavodsk,32,RU,1537503355,99,58.37,58.33,281.591,3.41
57,Porto Nacional,80,BR,1537503361,50,-10.7,-48.41,301.441,1.21
58,Lasa,0,CY,1537502400,64,34.92,32.53,295.15,2.6
59,North Battleford,90,CA,1537498800,80,52.78,-108.3,277.15,4.6
60,Meulaboh,0,ID,1537503405,96,4.14,96.13,301.791,1.66
61,Carnarvon,68,ZA,1537503411,50,-30.97,22.13,272.091,1.31
62,Iqaluit,75,CA,1537502400,100,63.75,-68.52,273.15,5.7
63,Cherskiy,92,RU,1537503353,83,68.75,161.3,279.741,0.71
64,Port Alfred,8,ZA,1537503431,100,-33.59,26.89,285.941,4.21
65,Tilichiki,92,RU,1537503437,99,60.47,166.1,283.591,1.66
66,Dhidhdhoo,56,MV,1537503443,100,6.88,73.1,299.791,6.36
67,Vaini,92,IN,1537503450,98,15.34,74.49,294.491,2.11
68,Barrow,92,AR,1537503406,41,-38.31,-60.23,291.491,5.86
69,Los Llanos de Aridane,12,ES,1537502400,78,28.66,-17.92,296.15,4.6
70,Saint George,20,GR,1537501800,72,39.45,22.34,288.15,1.5
71,Codrington,8,AU,1537503500,62,-28.95,153.24,292.241,3.16
72,Nakambala,24,ZM,1537503506,47,-15.83,27.78,293.591,5.66
73,Butembo,20,CD,1537503525,94,0.12,29.29,285.491,0.61
74,Ribeira Grande,20,PT,1537503532,96,38.52,-28.7,296.791,9.06
